,Rank,Average Temperature ▼,State / Population
0,1.0,72.95°F,"Hawaii / 1,392,704"
1,2.0,71.80°F,"Florida / 19,361,792"
2,3.0,66.74°F,"Louisiana / 4,601,049"
3,4.0,65.97°F,"Arizona / 6,561,516"
4,5.0,65.97°F,"Texas / 26,092,033"
5,6.0,63.50°F,"Mississippi / 2,984,345"
6,7.0,62.68°F,"Alabama / 4,817,678"
7,8.0,62.30°F,"Georgia / 9,907,756"
8,9.0,61.70°F,"South Carolina / 4,727,273"
9,10.0,61.17°F,"California / 38,066,920"
10,11.0,60.14°F,"Oklahoma / 3,818,851"
11,12.0,60.09°F,"Arkansas / 2,947,036"
12,13.0,58.70°F,"North Carolina / 9,750,405"
13,14.0,58.11°F,"Tennessee / 6,451,365"
14,15.0,57.30°F,"Nevada / 2,761,584"
15,16.0,55.62°F,"Kentucky / 4,383,272"
16,17.0,55.54°F,"Virginia / 8,185,131"
17,18.0,54.73°F,"District of Columbia / 633,736"
18,19.0,54.70°F,"Missouri / 6,028,076"
19,20.0,54.68°F,"Kansas / 2,882,946"
20,21.0,54.61°F,"Maryland / 5,887,776"
21,22.0,54.48°F,"Delaware / 917,060"
22,23.0,53.08°F,"West Virginia / 1,853,881"
23,24.0,53.07°F,"New Mexico / 2,080,085"
24,25.0,51.93°F,"New Jersey / 8,874,374"
25,26.0,51.81°F,"Indiana / 6,542,411"
26,27.0,51.37°F,"Illinois / 12,868,747"
27,28.0,51.27°F,"Oregon / 3,900,343"
28,29.0,50.88°F,"Ohio / 11,560,380"
29,30.0,50.47°F,"Washington / 6,899,123"
30,31.0,49.88°F,"Nebraska / 1,855,617"
31,32.0,49.80°F,"Pennsylvania / 12,758,729"
32,33.0,49.55°F,"Utah / 2,858,111"
33,34.0,49.27°F,"Rhode Island / 1,053,252"
34,35.0,48.60°F,"Connecticut / 3,592,053"
35,36.0,48.17°F,"New York / 19,594,330"
36,37.0,48.14°F,"Massachusetts / 6,657,291"
37,38.0,48.14°F,"Iowa / 3,078,116"
38,39.0,46.64°F,"Michigan / 9,889,024"
39,40.0,46.32°F,"Idaho / 1,599,464"
40,41.0,46.26°F,"Colorado / 5,197,580"
41,42.0,45.54°F,"South Dakota / 834,708"
42,43.0,44.71°F,"Wisconsin / 5,724,692"
43,44.0,44.49°F,"New Hampshire / 1,321,069"
44,45.0,44.18°F,"Montana / 1,006,370"
45,46.0,43.74°F,"Vermont / 626,358"
46,47.0,43.47°F,"Wyoming / 575,251"
47,48.0,43.09°F,"Maine / 1,328,535"
48,49.0,42.98°F,"Minnesota / 5,383,661"
49,50.0,40.80°F,"North Dakota / 704,925"
50,51.0,32.03°F,"Alaska / 728,300"
